Por favor seleccione el curso,Marca temporal,¿Cuál cree que es la principal razón por su bajo desempeño en el primer previo de este curso?,¿Alguna otra razón por la cual tuvo bajo desempeño en el primer previo de este curso?,Año,Mes
Medios de Transmisión,2024-05-09 16:59:35,Tengo dificultades por temas laborales,Poco estudio en casa,2024,5
Medios de Transmisión,2024-05-09 16:59:45,No me preparé lo suficiente para el examen,Temas de tiempo ,2024,5
Medios de Transmisión,2024-05-09 17:00:05,No me preparé lo suficiente para el examen,No me prepare lo suficiente ,2024,5
Medios de Transmisión,2024-05-09 17:00:07,No comprendo los temas explicados,No me concentré lo suficiente en las clases pero aún así son temas bastante complejos ,2024,5
Medios de Transmisión,2024-05-09 17:00:14,Tengo dificultades por temas laborales,No me preparé lo suficiente para el exámen ,2024,5
Medios de Transmisión,2024-05-09 17:00:15,No me preparé lo suficiente para el examen,Estudie pero creo que por los nervios presento un bloqueo mental ,2024,5
Medios de Transmisión,2024-05-09 17:00:32,No me preparé lo suficiente para el examen,Tener un poco más de concentración ,2024,5
Medios de Transmisión,2024-05-09 17:00:56,No me preparé lo suficiente para el examen,No tener el tiempo disponible para poder ir a las asesorías y falta de tiempo para poder repasar en casa ,2024,5
Medios de Transmisión,2024-05-09 17:01:18,No me preparé lo suficiente para el examen,Falta comprender temas básicos que son elementales para el curso,2024,5
Medios de Transmisión,2024-05-09 17:01:18,No comprendo los temas explicados,"Dos previos importantes de juntaron y fue difícil repartir los tiempos de estudiar para cada uno, también se me hizo complicado entender algunas preguntas del previo",2024,5
Medios de Transmisión,2024-05-09 17:01:29,Tengo dificultades por temas familiares,"Los tiempos en los que tenía los parciales se me juntaron (Tenía Electro I y Medios de Transmisión) y pues era un poco difícil dedicarle tiempo a alguno, y pues, decidí irme por el que más tendría importancia al pensum (Electro I)",2024,5
Medios de Transmisión,2024-05-09 17:03:44,Tengo dificultades por temas laborales,"En mi caso, siento que tengo las capacidades para prepararme lo suficiente, sin embargo siento que no cuento con suficiente tiempo para prepararme como quisiera, traté de prepararme y ser competente en la materia, y considero que el par de errores que tuve durante el examen, fueron claves para la baja nota, siento que tengo los conocimientos, pero mis responsabilidades externas me exigen bastante de igual forma ",2024,5
Diseño Digital,2024-05-10 08:49:05,No me preparé lo suficiente para el examen,No me preparé lo suficiente,2024,5
Diseño Digital,2024-05-10 08:49:29,No me preparé lo suficiente para el examen,El previo es mas dificil de lo explicado,2024,5
Diseño Digital,2024-05-10 08:54:32,Tengo dificultades por temas laborales,Me prepare para otras materias y no le dedique tiempo ,2024,5
Diseño Digital,2024-05-10 08:56:00,Tengo dificultades por temas laborales,No aplica ,2024,5
Física Electromagnética,2024-05-10 09:28:30,No me preparé lo suficiente para el examen,No entendí muy bien el tema y al estar ocupado con el trabajo y demás cosas personales no preparé muy bien los parciales ,2024,5
Física Electromagnética,2024-05-10 09:28:58,No me preparé lo suficiente para el examen,ninguna ,2024,5
Física Electromagnética,2024-05-10 09:29:00,No me preparé lo suficiente para el examen,Ninguna,2024,5
Física Electromagnética,2024-05-10 09:29:24,No me preparé lo suficiente para el examen,También algunos problemas personales...,2024,5
Física Electromagnética,2024-05-10 09:29:24,Tengo dificultades por temas laborales,Tuve problema de compresión con lo temas explicados en clase y poco tiempo por temas laborales ,2024,5
Física Electromagnética,2024-05-10 09:29:46,No comprendo los temas explicados,No conté con el tiempo para estudiar por temas laborales y familiares ,2024,5
Física Electromagnética,2024-05-10 09:29:47,No comprendo los temas explicados,La profe explica muy bien y es excelente pero a veces no comprendemos lo que realmente quiere,2024,5
Física Electromagnética,2024-05-10 09:30:19,Tengo dificultades por temas laborales,No entendí muy bien los temas asignados ,2024,5
Física Electromagnética,2024-05-10 09:30:54,No me preparé lo suficiente para el examen,Falta de compromiso y priorización ,2024,5
Física Electromagnética,2024-05-10 09:30:56,No comprendo los temas explicados,"No logré comprender muy bien el tema, aunque traté de buscar videos o cosas externas se me dificultó ",2024,5
Física Electromagnética,2024-05-10 09:31:06,No comprendo los temas explicados,No me tomé el tiempo suficiente para prepararme para el primer previo ,2024,5
Física Electromagnética,2024-05-10 09:31:46,Tengo dificultades por temas familiares,Por mi falta de tiempo y por la poca comprensión en el tema,2024,5
Física Electromagnética,2024-05-10 09:32:08,La temática evaluada es muy amplia,Tematica compleja.Falta de preparación ,2024,5
Física Electromagnética,2024-05-10 09:32:12,No comprendo los temas explicados,"El tema es muy extenso, a veces la profe me enreda y no logró comprender lo que quiere",2024,5
Física Electromagnética,2024-05-10 09:32:20,Tengo dificultades por temas laborales,Falta de tiempo debido a que tengo necesidad económica y me veo en la obligación de trabajar para subsistir por lo que no me queda casi tiempo para estudiar y pues aparte de eso el estrés de la universidad etc etc etc ,2024,5
Física Electromagnética,2024-05-10 09:32:34,No comprendo los temas explicados,Es una temática muy amplia por lo cual se complica comprender todo al maximo,2024,5
Física Electromagnética,2024-05-10 09:33:20,Las explicaciones del docente no son claras,"La docente no se hace explicar muy bien, y no aclara muy bien las preguntas que uno le hace",2024,5
Física Electromagnética,2024-05-10 09:33:45,No me preparé lo suficiente para el examen,"En general diría que fue a nivel personal mi bajo rendimiento debido a que suelo quedarme estancado (ocasionalmente) en cierto puntos que conozco pero olvidó ciertos detalles o por darles demasiadas vueltas a ciertos puntos en particular, además de a veces entrar a la evaluación con cierta falta de preparación ",2024,5
Física Electromagnética,2024-05-10 09:34:05,La temática evaluada es muy amplia,La Principal razon que creo yo es debido a que los temas vistos son muy abstractos por lo cual hay que tener muchas cosas en cuenta lo cual aumenta la dificultad de la materia pero despues de eso se entiende lo demas,2024,5
Física Electromagnética,2024-05-10 09:34:32,No comprendo los temas explicados,Administrar mal mi tiempo con el estudio y el trabajo ,2024,5
Electrónica I,2024-05-10 10:21:20,No me preparé lo suficiente para el examen,Problemas de tiempo,2024,5
Electrónica I,2024-05-10 10:22:24,No me preparé lo suficiente para el examen,Confundí ciertos temas ,2024,5
Electrónica I,2024-05-10 10:22:33,No me preparé lo suficiente para el examen,"Por los Quizes que se desarrollan en el transcurso de las clases, en vez de ayudar están es limitando la nota del previo",2024,5
Electrónica I,2024-05-10 10:22:37,No me preparé lo suficiente para el examen,No me prepare lo suficiente ,2024,5
Electrónica I,2024-05-10 10:22:41,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,El mismo,2024,5
Electrónica I,2024-05-10 10:23:24,No me preparé lo suficiente para el examen,No medi el tiempo y no alcance a responder la mayoría de los puntos del previo ,2024,5
Electrónica I,2024-05-10 10:23:27,No comprendo los temas explicados,Tema laboral y temas muy extensos,2024,5
Electrónica I,2024-05-10 10:23:39,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"El docente no explica con claridad y es muy exigente con las calificaciones 
Sería bueno buscar alternativas para ayuda al estudiante ",2024,5
Electrónica I,2024-05-10 10:23:41,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,falta de profundización en los temas en clase,2024,5
Electrónica I,2024-05-10 10:23:42,Tengo dificultades por temas laborales,Dificultades externas a la universidad que me afectaron respecto al tiempo y sentimientos. ,2024,5
Electrónica I,2024-05-10 10:23:46,No me preparé lo suficiente para el examen,"No estudié lo suficiente, y lo que estudie fue explicado por otro compañero, me explicó muy bien el proceso matemático ,pero las gráficas no y ahí fallé.",2024,5
Electrónica I,2024-05-10 10:24:10,No comprendo los temas explicados,No me prepare lo suficiente ,2024,5
Electrónica I,2024-05-10 10:24:49,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,No hay claridad entre la explicación de los temas y las evaluaciones implementadas debido a que los temas son explicados una única vez y no hay retroalimentación y reforzamiento del conocimiento por parte de la docente.. ,2024,5
Electrónica I,2024-05-10 10:25:38,No me preparé lo suficiente para el examen,"Normalmente los profesores deducen que no tenemos más materias y pues la carga de materias es bastante amplia y prepararse para todo es bastante complicado, toca estudiar más y prepararnos más, espero este segundo previo mejorar ",2024,5
Electrónica I,2024-05-10 10:26:13,No me preparé lo suficiente para el examen,"Simplemente la pregunta que más valor tenía, no analicé bien lo que significó que perdiera gran parte de la nota. El no sacar una nota más alta lo adjudico a una mala interpretación de mi parte de los dos primeros ejercicios. ",2024,5
Electrónica I,2024-05-10 10:26:27,No me preparé lo suficiente para el examen,"Principalmente bajo estado de ánimo durante la semana de parciales, respecto a las clases del docente, sus explicaciones son muy rápidas y en varias ocasiones no logro comprender muy bien el tema cuando ya está explicando el siguiente ",2024,5
Electrónica I,2024-05-10 10:27:19,No me preparé lo suficiente para el examen,No soy bueno gestionando mi tiempo como estudiante.,2024,5
Electrónica I,2024-05-10 10:27:28,Las explicaciones del docente no son claras,"Los criterios de evaluación de la docente no son fijos y cambian constantemente y no son comunicados previamente. La profesora no es abierta a preguntas y las responde de mala manera. Explica de forma acelerada los conceptos y da poco tiempo a preguntas, procede a salirse del salón a la hora de hacer ejercicios, no permitiendo hacer preguntas. Los quizzes afectan de forma significativa la nota de los previos, generalmente de forma negativa ya que el tiempo para realizarlos no es consecuente a la dificultad de los ejercicios.",2024,5
Electrónica I,2024-05-10 10:27:42,Tengo dificultades por temas laborales,"Considero tener capacidades para poder realizar de forma más completa la materia; sin embargo, cuento con poco tiempo disponible, en vista de las responsabilidades que tengo, me es difícil poder atender con todo, así mismo, considero que la persona que está explicando, omite cierta información, la cual es difícil de adivinar, o saber, también considero que han habido varios errores durante la explicación, lo cual hace que sea un poco más difícil de entender que está bien o que está mal, se hace más difícil de esa forma",2024,5
Electrónica I,2024-05-10 10:28:19,No me preparé lo suficiente para el examen,"Yo pienso pues primero que en parte es culpa de los mismos estudiantes ya que la mayoría pues no estudia lo suficiente para una materia la cual es importante en toda la carrera y segundo pues el previo si estuvo un poco complicado ya que hubo algunos puntos los cuales si era lo que vimos en clase, pero habían ciertas cosas que no se entendieron bien y pues que una que otras cosas que no se explico en clase que eran cosas que pasan desapercibidos por no prestar tanta atención.",2024,5
Electrónica I,2024-05-10 10:28:36,Las explicaciones del docente no son claras,El docente es muy grosera con los estudiantes y no explica muy bien aparte que es muy exigente con las calificaciones y no es acorde a como explica ,2024,5
Electrónica I,2024-05-10 10:29:43,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Cuando realizó la socialización del previo me di cuenta que muchas cosas no sabía el cómo pudo realizar en los ejercicios y el tiempo tampoco me dió para poder realizarlo,2024,5
Electrónica I,2024-05-10 10:29:47,No comprendo los temas explicados,"No comprendí 100% la temática. Quizá debí haber visto más ejemplos, más casos",2024,5
Electrónica I,2024-05-10 10:29:49,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"-Las explicaciones son de ejercicios muy sencillos para los que salen en el previo 
-el porcentaje de los quizes tienen mucho porcentaje con los previos 
-Quisiéramos más ejercicios para estudiar, porque en los libros no hay suficientes ejercicios ",2024,5
Electrónica I,2024-05-10 10:30:16,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"El porcentaje de quices es muy alto y eso baja mucho en la nota final 
Los ejercicios explicados son muy sencillos y eso también afecta en el momento del previo 
No se pueden llevar las fórmulas y para obtenerlas del ejercicios toma mucho tiempo ",2024,5
Electrónica I,2024-05-10 10:30:29,No comprendo los temas explicados," Necesito prepárame mucho más, ya que siento que la profe explica el tema y por parte de cada uno se necesita profundizar más ",2024,5
Electrónica I,2024-05-10 10:30:35,Tengo dificultades por temas familiares,Problemas de salud de mi madre ,2024,5
Electrónica I,2024-05-10 10:30:39,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Ninguna otra,2024,5
Electrónica I,2024-05-10 10:31:02,Las explicaciones del docente no son claras,"Las notas de todos los parciales se dividen entre quices y el parcial como tal, los quices tienden a tener muy poco tiempo y pedir demasiadas cosas, por lo tanto, un 30% de la nota subida a divisist ya estaría perdida. Por no decir que muchas veces ha pasado que algunos compañeros intentan preguntarles en clase algunas cosas que no se dejan clara, y la profesora no da una adecuada respuesta, llegando a veces ser un poco prepotente. Por otro lado, en parte de los quices, tiende a ser injusta con las personas que no puede venir por x o y motivo (si uno falta, se pone 0 en el parcial) y puede llegar a afectarnos en nota final, sin decir que no da oportunidad a volverlo a hacer. Y las temáticas la pasan demasiado rápido sin hacer debida retroalimentación.",2024,5
Electrónica I,2024-05-10 10:31:29,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Mal calendario académico en la fechas de exámenes, ya que realice varios exámenes el mismo día",2024,5
Física Electromagnética,2024-05-10 10:34:56,Las explicaciones del docente no son claras,No me preparé de manera adecuada para el examen ,2024,5
Electrónica I,2024-05-10 10:35:44,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"se cuenta con mucho porcentaje para quizes en los previos
no sé permite sacar fórmulas 
en los libros se encuentran ejercicios pero hace faltan más 
la explicación de los ejercicios son simples y en el previo ya tiene mucha complejidad ",2024,5
Electrónica I,2024-05-10 10:37:32,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"El porcentaje de los quices es muy alto, no deja sacar fórmulas, los ejercicios que hay en los libros son 3 o 4, los ejercicios que se hacen en clase son sencillos.",2024,5
Electrónica III,2024-06-18 07:20:27,El examen es muy largo para el tiempo asignado,Ninguna otra,2024,6
Electrónica III,2024-06-18 07:20:37,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,.,2024,6
Electrónica III,2024-06-18 07:21:02,La temática evaluada es muy amplia,Ninguna,2024,6
Electrónica III,2024-06-18 07:21:02,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Muchas cascaras en el previo,2024,6
Electrónica III,2024-06-18 07:21:29,No me preparé lo suficiente para el examen,No estudié lo suficiente un tema.,2024,6
Electrónica III,2024-06-18 07:21:50,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Falta de ejercicios de práctica en clase, solo hicimos un punto que no se completó en clase y salió uno parecido en el parcial ",2024,6
Electrónica III,2024-06-18 07:21:59,No me preparé lo suficiente para el examen,No aplica,2024,6
Electrónica III,2024-06-18 07:22:16,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Falto más comprensión lectora para interpretar adecuadamente el ejercicio ,2024,6
Electrónica III,2024-06-18 07:22:20,No me preparé lo suficiente para el examen,Durante las 2 semanas de previo estuve con un gripe,2024,6
Electrónica III,2024-06-18 07:23:51,No comprendo los temas explicados,"Falta de comprensión en los enunciados, quizá los nervios al leer el enunciado del previo me confundí y en vez de responder lo que se me pedía termine haciendo otra cosa",2024,6
Análisis de Circuitos en CD,2024-06-19 14:14:51,Tengo dificultades por temas laborales,Me bloque ,2024,6
Análisis de Circuitos en CD,2024-06-19 14:15:27,El examen es muy largo para el tiempo asignado,Tema muy largo para el tiempo ,2024,6
Análisis de Circuitos en CD,2024-06-19 14:16:35,No me preparé lo suficiente para el examen,Por temas laborales no me prepare bien,2024,6
Análisis de Circuitos en CD,2024-06-19 14:16:56,Tengo dificultades por temas laborales,"El horario laboral se interpone con las horas de estudio y repaso, entonces el tiempo no me es suficiente para poder mi estudio ",2024,6
Análisis de Circuitos en CD,2024-06-19 14:17:31,El examen es muy largo para el tiempo asignado,Falta de tiempo para realizar los ejercicios y estudiar para todas las asignaturas ,2024,6
Análisis de Circuitos en CD,2024-06-19 14:17:42,El examen es muy largo para el tiempo asignado,Explicar ejercicios más difíciles ,2024,6
Medios de Transmisión (Byron Medina),2024-06-20 10:13:22,No me preparé lo suficiente para el examen,"Siento que el ingeniero avanzó muy rápido en el tema y explicó pocos ejercicios, las clases pudieron ser un poco más amplias en cada tema visto y haber desarrollado más ejercicios para entender mejor la temática vista",2024,6
Medios de Transmisión (Byron Medina),2024-06-20 10:13:27,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"pienso que se deberían profundizar mejor los temas tratados, y por eso el previo se vio un poco complejo respecto a lo explicado en clase",2024,6
Medios de Transmisión (Byron Medina),2024-06-20 10:13:57,No me preparé lo suficiente para el examen,"No me prepare lo suficiente para el parcial, además que por trabajo no me quedo micho tiempo ",2024,6
Teoría Electromagnética,2024-06-20 10:14:22,No me preparé lo suficiente para el examen,No,2024,6
Teoría Electromagnética,2024-06-20 10:14:26,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,La temática evaluada es muy extensa ,2024,6
Teoría Electromagnética,2024-06-20 10:14:30,No me preparé lo suficiente para el examen,No estudie lo suficiente ,2024,6
Teoría Electromagnética,2024-06-20 10:14:34,No me preparé lo suficiente para el examen,Fortalecer algunas temáticas para el examen ,2024,6
Teoría Electromagnética,2024-06-20 10:14:55,La temática evaluada es muy amplia,No supe aplicar bien los conceptos.,2024,6
Teoría Electromagnética,2024-06-20 10:15:02,No comprendo los temas explicados,No me prepare lo suficiente para el examen ,2024,6
Teoría Electromagnética,2024-06-20 10:15:14,No me preparé lo suficiente para el examen,Ninguna ,2024,6
Teoría Electromagnética,2024-06-20 10:15:18,La temática evaluada es muy amplia,No,2024,6
Teoría Electromagnética,2024-06-20 10:15:19,La temática evaluada es muy amplia,Muy largos los temas que iban para este previo,2024,6
Teoría Electromagnética,2024-06-20 10:15:25,No me preparé lo suficiente para el examen,No haber ido lo suficiente a asesorías ,2024,6
Teoría Electromagnética,2024-06-20 10:15:58,La temática evaluada es muy amplia,.,2024,6
Teoría Electromagnética,2024-06-20 10:17:01,La temática evaluada es muy amplia,Sobrecargar por mucho tema en todas las materias para el tiempo que tengo ya que trabajo,2024,6
Teoría Electromagnética,2024-06-20 10:18:22,No me preparé lo suficiente para el examen,Me falto dedicarle más tiempo al estudio de la materia,2024,6
Medios de Transmisión (Marco García),2024-06-20 16:19:51,El examen es muy largo para el tiempo asignado,Queda pegado al previo de electrónica; en el examen final también...,2024,6
Medios de Transmisión (Marco García),2024-06-20 16:20:19,No comprendo los temas explicados,No me preparé lo suficiente. Falta de dominio en los temas,2024,6
Medios de Transmisión (Marco García),2024-06-20 16:20:19,No me preparé lo suficiente para el examen,Es medios de transmisión 👍 hard,2024,6
Medios de Transmisión (Marco García),2024-06-20 16:20:51,No me preparé lo suficiente para el examen,"No comprendi, del todo bien todos los temas explicados ",2024,6
Medios de Transmisión (Marco García),2024-06-20 16:21:07,Tengo dificultades por temas laborales,"Considero que en general me preparé bastante, intenté estudiar la temática propuesta, sin embargo, errores pequeños son castigados fuertemente, esto causa que haya desánimo, por más que intente esforzarme, no fue suficiente, así mismo procuré tener en cuenta mi tiempo laboral, para darme suficiente preparación, e igual el resultado fue similar al previo pasado.",2024,6
Medios de Transmisión (Marco García),2024-06-20 16:22:22,No me preparé lo suficiente para el examen,Por falta de estudio ,2024,6
Diseño Digital,2024-06-21 08:30:00,No me preparé lo suficiente para el examen,No le dedique mucho tiempo a estudiar en esta ocasión ,2024,6
Diseño Digital,2024-06-21 08:32:14,Tengo dificultades por temas laborales,"Cuestiones familiares, problemas personales conmigo mismo, falta de confianza y dudar de mis capacidades ",2024,6
Diseño Digital,2024-06-21 08:32:37,Tengo dificultades por temas familiares,Trabajo,2024,6
Diseño Digital,2024-06-21 08:32:47,No me preparé lo suficiente para el examen,Nada,2024,6
Diseño Digital,2024-06-21 08:34:03,El examen es muy largo para el tiempo asignado,He tenido problemas para memorizar todos los diferentes temas ,2024,6
Electrónica I,2024-06-21 11:17:13,No me preparé lo suficiente para el examen,Problemas a la hora de realizar los exámenes ,2024,6
Electrónica I,2024-06-21 11:18:24,No me preparé lo suficiente para el examen,No me gusta estudiar,2024,6
Electrónica I,2024-06-21 11:18:37,El examen es muy largo para el tiempo asignado,"Mal organización de calendario por parte de la universidad, ya que teníamos acumulación de exámenes para una misma fecha ",2024,6
Electrónica I,2024-06-21 11:19:54,El examen es muy largo para el tiempo asignado,"Los previos no son bien evaluados, los quices tienen una ponderación del 30% para el segundo previo y es un porcentaje muy alto",2024,6
Electrónica I,2024-06-21 11:19:55,Tengo dificultades por temas laborales,Ninguno,2024,6
Electrónica I,2024-06-21 11:20:05,El examen es muy largo para el tiempo asignado,"El punto con más valor me quedo mal por colocar mal el valor de beta , soy brutico ",2024,6
Electrónica I,2024-06-21 11:20:21,La temática evaluada es muy amplia,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase ,2024,6
Electrónica I,2024-06-21 11:20:29,El examen es muy largo para el tiempo asignado,hay temas que son complicados y requiere de más explicacion,2024,6
Electrónica I,2024-06-21 11:20:40,No me preparé lo suficiente para el examen,No comprendia muy bien los temas y los ejercicios del previo,2024,6
Electrónica I,2024-06-21 11:20:52,El examen es muy largo para el tiempo asignado,"El parcial tenía el tiempo justo para hacer los puntos sin equivocaciones, una sola equivocación evitaba poder hacerlo en el tiempo indicado. Los quizzes hechos por la docente contribuyen negativamente a la nota al ser espontáneos e influir en la nota final",2024,6
Electrónica I,2024-06-21 11:20:56,Las explicaciones del docente no son claras,Hay temas que son muy extensos y requieren de más tiempo de explicación y más tiempo en el momento de evaluar ,2024,6
Teoría Electromagnética,2024-10-18 07:20:12,No me preparé lo suficiente para el examen,Ninguna,2024,10
Teoría Electromagnética,2024-10-18 07:20:18,No comprendo los temas explicados,También por temas laborales ,2024,10
Teoría Electromagnética,2024-10-18 07:20:28,No me preparé lo suficiente para el examen,Falta de tiempo por temas laborales y falta de organización.,2024,10
Teoría Electromagnética,2024-10-18 07:20:42,No me preparé lo suficiente para el examen,Los temas son algo complejos ,2024,10
Teoría Electromagnética,2024-10-18 07:20:51,No me preparé lo suficiente para el examen,Me enfoque en estudiar más la materia de variable compleja y descuide la de teoría eléctromagnetica ,2024,10
Teoría Electromagnética,2024-10-18 07:22:12,El examen es muy largo para el tiempo asignado,Trabajo de medio tiempo,2024,10
Teoría Electromagnética,2024-10-18 07:22:43,Tengo dificultades por temas laborales,"Yo considero que tuve mal desempeño por parte mía y ya que no me da tiempo de estudiar mucho y este semestre se me dificulta demasiado poder entender temas nuevos.

Y se me dificulta entender los temas y por parte laboral no se me da el tiempo para estudiar",2024,10
Medios de Transmisión,2024-10-21 09:15:47,No me preparé lo suficiente para el examen,No comprendo algunos de los temas explicados,2024,10
Medios de Transmisión,2024-10-21 09:16:39,No me preparé lo suficiente para el examen,Deberes externos de la U,2024,10
Medios de Transmisión,2024-10-21 09:16:58,No me preparé lo suficiente para el examen,No ,2024,10
Medios de Transmisión,2024-10-21 09:17:28,No me preparé lo suficiente para el examen,Por temas de tiempo,2024,10
Medios de Transmisión,2024-10-21 09:17:31,No comprendo los temas explicados,"Ningúna otra razón, por el momento",2024,10
Medios de Transmisión,2024-10-21 09:17:40,No me preparé lo suficiente para el examen,Comprensión de los temas vistos ,2024,10
Medios de Transmisión,2024-10-21 09:18:05,No me preparé lo suficiente para el examen,"No estudié lo debido, por enfocarme en electrónica 2 y diseño. El tema que estudié, fue el punto que me fue bien",2024,10
Medios de Transmisión,2024-10-21 09:18:34,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"No me prepare lo suficiente, la mal organización del calendario de exámenes ya que contábamos con diversos exámenes programados el mismo día ",2024,10
Medios de Transmisión,2024-10-21 09:18:36,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Aunque me haya preparado para el examen no comprendí muy bien los puntos evaluados y/o la problemática del previo,2024,10
Medios de Transmisión,2024-10-21 09:18:51,No me preparé lo suficiente para el examen,"Por motivos de tiempo y acumulación de previos, no fue mucho el tiempo que le pude dedicar a la materia ",2024,10
Medios de Transmisión,2024-10-21 09:19:17,No me preparé lo suficiente para el examen,"Cometí errores al momento de interpretar el ejercicio que me costó pasar el examen, ya que o quedaba bien o quedaba mal",2024,10
Ondas y Partículas,2024-10-22 08:21:34,No me preparé lo suficiente para el examen,Me faltó tener claro los conceptos ,2024,10
Ondas y Partículas,2024-10-22 08:22:34,Tengo dificultades por temas laborales,Ninguna ,2024,10
Ondas y Partículas,2024-10-22 08:22:42,No me preparé lo suficiente para el examen,Problemas por temas laborales y familiares,2024,10
Ondas y Partículas,2024-10-22 08:22:54,Las explicaciones del docente no son claras,Tematica Amplia,2024,10
Ondas y Partículas,2024-10-22 08:22:57,No comprendo los temas explicados,"Muchas horas de clase entre semana, pero pude haberme preparado mejor",2024,10
Ondas y Partículas,2024-10-22 08:22:58,No me preparé lo suficiente para el examen,El tema fue algo extenso ,2024,10
Ondas y Partículas,2024-10-22 08:23:00,No comprendo los temas explicados,"Sobre todo eso, no comprendo casi los temas que estamos viendo y pues también mi trabajo no me deja mucho espacio para reforzar en casa y el tema de ondas es muy extenso",2024,10
Ondas y Partículas,2024-10-22 08:23:03,No me preparé lo suficiente para el examen,Dificultades por temas familiares ,2024,10
Ondas y Partículas,2024-10-22 08:23:03,No comprendo los temas explicados,"Dificultad con los temas, es poco entendible.",2024,10
Ondas y Partículas,2024-10-22 08:23:06,El examen es muy largo para el tiempo asignado, no entendí la temática por completo ,2024,10
Ondas y Partículas,2024-10-22 08:23:15,No me preparé lo suficiente para el examen,No,2024,10
Ondas y Partículas,2024-10-22 08:23:32,Las explicaciones del docente no son claras,No entiendo bien los temas explicados y el examen es demasiado extenso ,2024,10
Ondas y Partículas,2024-10-22 08:23:47,No me preparé lo suficiente para el examen,Por no mantener mis apuntes al dia lo cual me impidió una calidad de auto estudio adecuado para la epoca del parcial lo cual se demostró en mi calificación ,2024,10
Ondas y Partículas,2024-10-22 08:24:09,No me preparé lo suficiente para el examen,Considero que adicional a la preparación los temas de la materia si tienden a ser muy amplios y personalmente por estar fallos en algunos conceptos término por no conseguir los resultados ideales o esperados,2024,10
Ondas y Partículas,2024-10-22 08:24:10,La temática evaluada es muy amplia,El parcial fue demasiado amplio para hacer en el tipo estimado y la dificultad comparada a otros semestres aumento ,2024,10
Ondas y Partículas,2024-10-22 08:24:46,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,"Las clases de la profesora son muy extensas y da demasiados temas en muy poco tiempo haciendo q no sean claros  , y la dificultad del examen es demasiado alta a comparación de la clase  , y eso lo hace casi imposible pasarlo ",2024,10
Ondas y Partículas,2024-10-22 08:25:17,La temática evaluada es muy amplia,La complejidad ya que a la hora de abordar algunos temas pueden ser extensos o muy largos. ,2024,10
Ondas y Partículas,2024-10-22 08:27:04,No comprendo los temas explicados,Me estanqué en una de las preguntas y me quedé sin tiempo para hacer el resto ,2024,10
Ondas y Partículas,2024-10-22 08:28:43,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,La temática es demasiado extensa y la metodología usada para el aprendizaje no es clara.,2024,10
Electrónica III,2024-10-23 09:10:38,No me preparé lo suficiente para el examen,"Errores de concepto, que no pude aclarar para el previo.",2024,10
Electrónica III,2024-10-23 09:10:56,No me preparé lo suficiente para el examen,Me prepare más con otros temas diferentes a lo que salió en el previo ,2024,10
Electrónica III,2024-10-23 09:11:24,No me preparé lo suficiente para el examen,No me preparé con ejercicios del libro sino con ejercicios de previos pasados que correspondían a otro docente con una metodología distinta ,2024,10
Electrónica III,2024-10-23 09:11:33,No me preparé lo suficiente para el examen,Falta de preparación ,2024,10
Electrónica III,2024-10-23 09:11:41,Las explicaciones del docente no son claras,Tuve respuestas correctas pero el docente al momento de calificar exigió un procedimiento diferente.,2024,10
Electrónica III,2024-10-23 09:12:28,No me preparé lo suficiente para el examen,"No me preparé en los temas que se evaluaron, debido a que gran parte de la temática durante fueron amplificadores operacionales, estos estudié y el parcial fue mayoritariamente amplificadores de potencia. Ahora bien, el profesor sí dijo muy claramente los temas que iba a evaluar, fue mala preparación mía.",2024,10
Electrónica III,2024-10-23 09:12:33,No me preparé lo suficiente para el examen,"No me prepare bien para el examen, por temas de trabajo y tiempo para otros parciales. ",2024,10
Electrónica III,2024-10-23 09:12:45,No me preparé lo suficiente para el examen,Algunos temas no los comprendí muy bien ,2024,10
